"year","rep","scenario","meanG_inbred","varG_inbred","meanG_hybrid","varG_hybrid","acc_sel","acc_sel2","cor"
1,1,"HybridPheno",74.209225628749,15.6874661364213,180.397153897605,16.7421654215681,0.127672681264042,0,0.757786374994943
2,1,"HybridPheno",72.8981005147243,16.3081760518714,178.720073731104,15.8878319057047,0.112093872727065,0,0.77377649287951
3,1,"HybridPheno",72.8280929745517,17.8864634137013,178.337851976737,17.2965549403577,0.1144952708952,0,0.759636007726355
4,1,"HybridPheno",73.6248966076831,16.077366514918,180.258080631955,15.9272790386562,0.158581188249072,0,0.703371454516167
5,1,"HybridPheno",75.9048633681023,16.77320835918,183.303590778584,16.6078390216232,0.131582828622198,0,0.799037111268191
6,1,"HybridPheno",76.0527548842441,16.8556835031237,183.960313192033,14.5676916786242,0.146526654745447,0,0.769648875258729
7,1,"HybridPheno",76.5212123339783,14.6549422806746,184.796548638475,14.4913390141828,0.13188938260753,0,0.660607663470014
8,1,"HybridPheno",77.8611886929598,17.2827760714159,185.436424233166,13.5080134953512,0.132344798703428,0,0.66608157241753
9,1,"HybridPheno",78.3694220444401,17.2221846726563,187.044527638239,14.9839449429031,0.142755575772127,0,0.722057949867741
10,1,"HybridPheno",79.6770070740989,15.4470839139498,188.893578766335,16.7393135643335,0.139494546997086,0,0.770768792240963
11,1,"HybridPheno",80.3451683640269,20.3585350353427,189.443350303472,15.5357240927348,0.116611271740318,0,0.623965212183257
12,1,"HybridPheno",79.7895945410367,14.9218707004761,189.404603044569,11.8114213201244,0.130523261103247,0,0.620984920141374
13,1,"HybridPheno",80.5444052747417,17.0506355899212,189.894258044001,14.3522045649119,0.145797129716906,0,0.693922354082533
14,1,"HybridPheno",82.419423884628,11.7940354079051,192.259306275059,13.633728286149,0.128501103577996,0,0.632562740028895
15,1,"HybridPheno",82.5812515558345,13.3471938070786,194.329359762299,13.5699430444049,0.100654813480836,0,0.724229946843662
16,1,"HybridPheno",82.6914588828433,21.2426653813357,194.336466172911,17.7875561619381,0.135104136801436,0,0.628199149197032
17,1,"HybridPheno",83.1500307442773,19.6262937786662,193.272667406158,14.9026219758453,0.126287528394139,0,0.740186143195131
18,1,"HybridPheno",84.1258403457049,17.5534554603234,195.49401908521,17.0179802707842,0.126918911689134,0,0.744623911283869
19,1,"HybridPheno",83.7873332839959,17.3392021835054,195.070101992315,11.861389070233,0.106919066546175,0,0.695243098535287
20,1,"HybridPheno",85.4812620692857,10.5145942569783,197.240996455821,13.4580141715136,0.138412722118739,0,0.645495433874373
21,1,"HybridPheno",86.2512317289242,17.7588838339192,198.976909753432,16.7260940110635,0.116005473222911,0,0.654607728158254
22,1,"HybridPheno",86.943335020175,19.9293854707075,200.231576094485,16.8204348129472,0.117276320589587,0,0.78420768427032
23,1,"HybridPheno",87.901359274251,14.8085092606142,201.727921239442,15.4146170079217,0.104636531566114,0,0.718389359457158
24,1,"HybridPheno",87.7359827058305,12.9876775669136,200.762063564242,11.4198681931203,0.112282070094381,0,0.522110657449311
25,1,"HybridPheno",88.1263995315582,10.2874879829243,201.684362072904,10.4562338815018,0.120620835965723,0,0.450742568549409
26,1,"HybridPheno",89.674895417484,10.6205242890488,203.97926470963,11.2225032340734,0.114697890138937,0,0.497045267315255
27,1,"HybridPheno",89.9020865712217,14.9231377111839,203.872002426007,10.726724446049,0.104340444140016,0,0.56734274058193
28,1,"HybridPheno",89.5948614036254,9.60863555022646,204.389366083424,10.7447268962202,0.0963801253340702,0,0.445912681543982
29,1,"HybridPheno",90.2398188157882,13.9579411567305,205.729418107976,10.3833195935455,0.116960157193727,0,0.498958148712102
30,1,"HybridPheno",91.1680249048505,14.1509882884821,207.660076944753,17.9623740220343,0.107928422805736,0,0.549696163637214
31,1,"HybridPheno",91.5911034649357,11.5100460381365,207.005803591811,13.0953024584229,0.115156384027058,0,0.590313785303178
32,1,"HybridPheno",92.4369938535959,13.4670541640485,209.098808834237,9.89040413955982,0.105768710528631,0,0.621362861059752
33,1,"HybridPheno",92.5329345244127,13.9323880765504,208.432055859196,10.5383738197574,0.112932695411143,0,0.593024413871704
34,1,"HybridPheno",92.7284700688054,14.0904052720702,208.467285736163,11.8623272019062,0.121756340841157,0,0.527582586855942
35,1,"HybridPheno",94.3629059344601,15.7969360413099,211.637610851514,13.6097384226737,0.10140814376733,0,0.694255763114787
36,1,"HybridPheno",94.0659723420212,10.6094893203762,211.793986735688,11.9899857354874,0.0977750645016478,0,0.44819868899751
37,1,"HybridPheno",93.9847023216037,13.6609618017039,211.983453598079,12.2444641513002,0.0964021102396618,0,0.574135919760935
38,1,"HybridPheno",96.0189108734332,12.6336700099755,214.317865052973,8.71083903502267,0.131456548440663,0,0.535586382296
39,1,"HybridPheno",95.8223331687525,12.1133793029259,213.697867157286,11.8632932620512,0.10893895358968,0,0.531973813651247
40,1,"HybridPheno",96.9054645823015,10.662096668201,214.642481549701,11.7852102026661,0.0792187602905798,0,0.620386636131854
